y,fzone,punt,kick,gofor
1,1,0.006,0,0.994
1,2,0.6525,0,0.3475
1,3,1,0,0
1,4,1,0,0
2,1,0.005,0,0.995
2,2,0.6145,0,0.3855
2,3,1,0,0
2,4,1,0,0
3,1,0.019,0,0.981
3,2,0.875,0,0.125
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.1865,0,0.8135
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.454,0,0.546
5,4,0.9965,0,0.0035
6,1,0,0.0095,0.9905
6,2,0,0.026,0.974
6,3,0.001,0.0885,0.9105
6,4,0.4915,0.1885,0.32
7,1,0,0.1365,0.8635
7,2,0,0.956,0.044
7,3,0,1,0
7,4,0,1,0
8,1,0,0.003,0.997
8,2,0,0.616,0.384
8,3,0,1,0
8,4,0,1,0
9,1,0,0.227,0.773
9,2,0,0.9895,0.0105
9,3,0,1,0
9,4,0,1,0
10,1,0,0,1
10,2,0,0.2885,0.7115
10,3,0,0.963,0.037
10,4,0,0.9975,0.0025
