y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.1065,0,0.8935
1,3,0.985,0,0.015
1,4,1,0,0
2,1,0,0,1
2,2,0.1795,0,0.8205
2,3,0.9975,0,0.0025
2,4,1,0,0
3,1,0.003,0,0.997
3,2,0.616,0,0.384
3,3,0.9995,0,0.0005
3,4,1,0,0
4,1,0,0,1
4,2,0.0515,0,0.9485
4,3,0.9935,0,0.0065
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.3125,0,0.6875
5,4,0.993,0,0.007
6,1,0,0.007,0.993
6,2,0,0.0185,0.9815
6,3,0.0005,0.0605,0.939
6,4,0.4,0.1515,0.4485
7,1,0,0.009,0.991
7,2,0,0.6445,0.3555
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.145,0.855
8,3,0,0.997,0.003
8,4,0,1,0
9,1,0,0.069,0.931
9,2,0,0.9495,0.0505
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.1785,0.8215
10,3,0,0.943,0.057
10,4,0,0.995,0.005
