y,fzone,punt,kick,gofor
1,1,0.001,0,0.999
1,2,0.409,0,0.591
1,3,0.9985,0,0.0015
1,4,1,0,0
2,1,0.0005,0,0.9995
2,2,0.359,0,0.641
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0035,0,0.9965
3,2,0.6345,0,0.3655
3,3,0.9995,0,0.0005
3,4,1,0,0
4,1,0,0,1
4,2,0.022,0,0.978
4,3,0.9815,0,0.0185
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.1545,0,0.8455
5,4,0.975,0,0.025
6,1,0,0.009,0.991
6,2,0,0.0245,0.9755
6,3,0,0.084,0.916
6,4,0.2275,0.2055,0.567
7,1,0,0.0445,0.9555
7,2,0,0.87,0.13
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.1965,0.8035
8,3,0,0.998,0.002
8,4,0,1,0
9,1,0,0.052,0.948
9,2,0,0.924,0.076
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.079,0.921
10,3,0,0.89,0.11
10,4,0,0.9865,0.0135
