y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.196,0,0.804
1,3,0.9865,0,0.0135
1,4,1,0,0
2,1,0,0,1
2,2,0.1655,0,0.8345
2,3,0.9975,0,0.0025
2,4,1,0,0
3,1,0,0,1
3,2,0.3295,0,0.6705
3,3,0.999,0,0.001
3,4,1,0,0
4,1,0,0,1
4,2,0.0005,0,0.9995
4,3,0.8415,0,0.1585
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.021,0,0.979
5,4,0.859,0,0.141
6,1,0,0.0085,0.9915
6,2,0,0.0245,0.9755
6,3,0,0.082,0.918
6,4,0.0775,0.2115,0.711
7,1,0,0.015,0.985
7,2,0,0.703,0.297
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0185,0.9815
8,3,0,0.972,0.028
8,4,0,1,0
9,1,0,0.004,0.996
9,2,0,0.7,0.3
9,3,0,0.9915,0.0085
9,4,0,1,0
10,1,0,0,1
10,2,0,0.008,0.992
10,3,0,0.699,0.301
10,4,0,0.9635,0.0365
