y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.1195,0,0.8805
1,3,0.9835,0,0.0165
1,4,1,0,0
2,1,0,0,1
2,2,0.132,0,0.868
2,3,0.9965,0,0.0035
2,4,1,0,0
3,1,0.002,0,0.998
3,2,0.5165,0,0.4835
3,3,0.9995,0,0.0005
3,4,1,0,0
4,1,0,0,1
4,2,0.035,0,0.965
4,3,0.99,0,0.01
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.2885,0,0.7115
5,4,0.9925,0,0.0075
6,1,0,0.007,0.993
6,2,0,0.0195,0.9805
6,3,0.0005,0.0625,0.937
6,4,0.427,0.1545,0.4185
7,1,0,0.0185,0.9815
7,2,0,0.7345,0.2655
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.228,0.772
8,3,0,0.998,0.002
8,4,0,1,0
9,1,0,0.0885,0.9115
9,2,0,0.9605,0.0395
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.1815,0.8185
10,3,0,0.9415,0.0585
10,4,0,0.995,0.005
