y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0005,0,0.9995
1,3,0.0005,0,0.9995
1,4,0.0025,0,0.9975
2,1,0,0,1
2,2,0,0,1
2,3,0,0,1
2,4,0,0,1
3,1,0,0,1
3,2,0,0,1
3,3,0,0,1
3,4,0,0,1
4,1,0,0,1
4,2,0,0,1
4,3,0,0,1
4,4,0,0,1
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0,0,1
6,1,0,0.405,0.595
6,2,0,0.499,0.501
6,3,0,0.6115,0.3885
6,4,0,0.7155,0.2845
7,1,0,0.9535,0.0465
7,2,0,0.9905,0.0095
7,3,0,1,0
7,4,0,1,0
8,1,0,0.4425,0.5575
8,2,0,0.6275,0.3725
8,3,0,0.8595,0.1405
8,4,0,0.98,0.02
9,1,0,0.092,0.908
9,2,0,0.3405,0.6595
9,3,0,0.781,0.219
9,4,0,0.9635,0.0365
10,1,0,0,1
10,2,0,0.0005,0.9995
10,3,0,0.0415,0.9585
10,4,0,0.355,0.645
