y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.002,0,0.998
1,3,0.1055,0,0.8945
1,4,0.6445,0,0.3555
2,1,0,0,1
2,2,0.003,0,0.997
2,3,0.378,0,0.622
2,4,0.9595,0,0.0405
3,1,0,0,1
3,2,0,0,1
3,3,0.275,0,0.725
3,4,0.973,0,0.027
4,1,0,0,1
4,2,0,0,1
4,3,0,0,1
4,4,0.3085,0,0.6915
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.014,0,0.986
6,1,0,0.01,0.99
6,2,0,0.0175,0.9825
6,3,0,0.0495,0.9505
6,4,0,0.149,0.851
7,1,0,0.002,0.998
7,2,0,0.0245,0.9755
7,3,0,0.3125,0.6875
7,4,0,0.831,0.169
8,1,0,0,1
8,2,0,0,1
8,3,0,0.0075,0.9925
8,4,0,0.2185,0.7815
9,1,0,0,1
9,2,0,0.0005,0.9995
9,3,0,0.198,0.802
9,4,0,0.721,0.279
10,1,0,0,1
10,2,0,0,1
10,3,0,0.0065,0.9935
10,4,0,0.19,0.81
