y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.1425,0,0.8575
1,3,0.977,0,0.023
1,4,1,0,0
2,1,0,0,1
2,2,0.1065,0,0.8935
2,3,0.9915,0,0.0085
2,4,1,0,0
3,1,0,0,1
3,2,0.199,0,0.801
3,3,0.9975,0,0.0025
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.6575,0,0.3425
4,4,0.9995,0,0.0005
5,1,0,0,1
5,2,0,0,1
5,3,0.006,0,0.994
5,4,0.7355,0,0.2645
6,1,0,0.0085,0.9915
6,2,0,0.025,0.975
6,3,0,0.0845,0.9155
6,4,0.041,0.2195,0.7395
7,1,0,0.01,0.99
7,2,0,0.6775,0.3225
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.005,0.995
8,3,0,0.952,0.048
8,4,0,1,0
9,1,0,0.001,0.999
9,2,0,0.593,0.407
9,3,0,0.989,0.011
9,4,0,1,0
10,1,0,0,1
10,2,0,0.002,0.998
10,3,0,0.6075,0.3925
10,4,0,0.954,0.046
