y,fzone,punt,kick,gofor
1,1,0.989,0,0.011
1,2,0.999,0,0.001
1,3,1,0,0
1,4,1,0,0
2,1,0.9885,0,0.0115
2,2,0.995,0,0.005
2,3,1,0,0
2,4,1,0,0
3,1,0.991,0,0.009
3,2,0.9985,0,0.0015
3,3,1,0,0
3,4,1,0,0
4,1,0.987,0,0.013
4,2,0.9935,0,0.0065
4,3,0.997,0,0.003
4,4,0.9995,0,0.0005
5,1,0.9835,0,0.0165
5,2,0.992,0,0.008
5,3,0.995,0,0.005
5,4,0.9965,0,0.0035
6,1,0.902,0.005,0.093
6,2,0.99,0.005,0.005
6,3,0.99,0.005,0.005
6,4,0.9905,0.005,0.0045
7,1,0.0005,0.65,0.3495
7,2,0.005,0.969,0.026
7,3,0.021,0.9775,0.0015
7,4,0.021,0.979,0
8,1,0,0.514,0.486
8,2,0,0.9645,0.0355
8,3,0,0.9785,0.0215
8,4,0,0.9955,0.0045
9,1,0,0.9075,0.0925
9,2,0,0.9735,0.0265
9,3,0,0.988,0.012
9,4,0,0.996,0.004
10,1,0,0.213,0.787
10,2,0,0.8815,0.1185
10,3,0,0.9695,0.0305
10,4,0,0.977,0.023
