y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.06,0,0.94
1,3,0.934,0,0.066
1,4,0.9995,0,0.0005
2,1,0.018,0,0.982
2,2,0.726,0,0.274
2,3,0.999,0,0.001
2,4,1,0,0
3,1,0.1375,0,0.8625
3,2,0.9715,0,0.0285
3,3,1,0,0
3,4,1,0,0
4,1,0.0395,0,0.9605
4,2,0.8995,0,0.1005
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.0195,0,0.9805
5,3,0.9545,0,0.0455
5,4,1,0,0
6,1,0,0.066,0.934
6,2,0,0.138,0.862
6,3,0.052,0.2805,0.6675
6,4,0.6065,0.3495,0.044
7,1,0,1,0
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,1,0
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,1,0
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,1,0
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
