y,fzone,punt,kick,gofor
1,1,0.218,0,0.782
1,2,0.922,0,0.078
1,3,1,0,0
1,4,1,0,0
2,1,0.0075,0,0.9925
2,2,0.436,0,0.564
2,3,0.987,0,0.013
2,4,1,0,0
3,1,0.022,0,0.978
3,2,0.6235,0,0.3765
3,3,0.9975,0,0.0025
3,4,1,0,0
4,1,0.007,0,0.993
4,2,0.5095,0,0.4905
4,3,0.9985,0,0.0015
4,4,1,0,0
5,1,0.001,0,0.999
5,2,0.4225,0,0.5775
5,3,0.997,0,0.003
5,4,1,0,0
6,1,0,0,1
6,2,0.0655,0,0.9345
6,3,0.9795,0,0.0205
6,4,1,0,0
7,1,0,0,1
7,2,0,0,1
7,3,0.171,0,0.829
7,4,0.9655,0,0.0345
8,1,0,0,1
8,2,0,0,1
8,3,0,0,1
8,4,0,0,1
9,1,0,0,1
9,2,0,0,1
9,3,0,0,1
9,4,0,0,1
10,1,0,0,1
10,2,0,0,1
10,3,0,0,1
10,4,0,0,1
