y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.217,0,0.783
1,3,0.982,0,0.018
1,4,1,0,0
2,1,0.1705,0,0.8295
2,2,0.9665,0,0.0335
2,3,1,0,0
2,4,1,0,0
3,1,0.7405,0,0.2595
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.7715,0,0.2285
4,2,0.9995,0,0.0005
4,3,1,0,0
4,4,1,0,0
5,1,0.068,0,0.932
5,2,0.9045,0,0.0955
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0.034,0.0275,0.9385
6,3,0.9295,0.0445,0.026
6,4,0.9555,0.0445,0
7,1,0,0.325,0.675
7,2,0,0.9655,0.0345
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0745,0.9255
8,2,0,0.856,0.144
8,3,0,1,0
8,4,0,1,0
9,1,0,0.484,0.516
9,2,0,0.993,0.007
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.427,0.573
10,3,0,0.9695,0.0305
10,4,0,0.9985,0.0015
