y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.027,0,0.973
1,3,0.936,0,0.064
1,4,1,0,0
2,1,0,0,1
2,2,0.256,0,0.744
2,3,0.9965,0,0.0035
2,4,1,0,0
3,1,0.406,0,0.594
3,2,0.997,0,0.003
3,3,1,0,0
3,4,1,0,0
4,1,0.892,0,0.108
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.8745,0,0.1255
5,2,1,0,0
5,3,1,0,0
5,4,1,0,0
6,1,0.2795,0.0215,0.699
6,2,0.9715,0.027,0.0015
6,3,0.973,0.027,0
6,4,0.973,0.027,0
7,1,0,1,0
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,1,0
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,1,0
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,1,0
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
