y,fzone,punt,kick,gofor
1,1,0.0415,0,0.9585
1,2,0.8545,0,0.1455
1,3,1,0,0
1,4,1,0,0
2,1,0.9745,0,0.0255
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,1,0,0
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.9985,0,0.0015
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.127,0,0.873
5,2,0.99,0,0.01
5,3,1,0,0
5,4,1,0,0
6,1,0,0.125,0.875
6,2,0.0015,0.219,0.7795
6,3,0.6465,0.3085,0.045
6,4,0.6905,0.3095,0
7,1,0,1,0
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,1,0
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,1,0
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,1,0
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
