y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0,0,1
1,3,0.1765,0,0.8235
1,4,0.928,0,0.072
2,1,0,0,1
2,2,0.003,0,0.997
2,3,0.6105,0,0.3895
2,4,0.9945,0,0.0055
3,1,0,0,1
3,2,0.053,0,0.947
3,3,0.8915,0,0.1085
3,4,0.9985,0,0.0015
4,1,0,0,1
4,2,0.01,0,0.99
4,3,0.708,0,0.292
4,4,0.9965,0,0.0035
5,1,0,0,1
5,2,0,0,1
5,3,0.0165,0,0.9835
5,4,0.6025,0,0.3975
6,1,0,0.071,0.929
6,2,0,0.1435,0.8565
6,3,0,0.291,0.709
6,4,0.006,0.46,0.534
7,1,0,1,0
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,1,0
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,1,0
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,1,0
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
