y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0,0,1
1,3,0.0085,0,0.9915
1,4,0.5765,0,0.4235
2,1,0,0,1
2,2,0,0,1
2,3,0.0625,0,0.9375
2,4,0.868,0,0.132
3,1,0,0,1
3,2,0,0,1
3,3,0.039,0,0.961
3,4,0.8295,0,0.1705
4,1,0,0,1
4,2,0,0,1
4,3,0.0055,0,0.9945
4,4,0.606,0,0.394
5,1,0,0,1
5,2,0,0,1
5,3,0.0005,0,0.9995
5,4,0.0245,0,0.9755
6,1,0,0.0595,0.9405
6,2,0,0.12,0.88
6,3,0,0.2595,0.7405
6,4,0,0.4295,0.5705
7,1,0,1,0
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,1,0
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,1,0
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,1,0
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
