y,fzone,punt,kick,gofor
1,1,0.0015,0,0.9985
1,2,0.455,0,0.545
1,3,0.9965,0,0.0035
1,4,1,0,0
2,1,0.3195,0,0.6805
2,2,0.9935,0,0.0065
2,3,1,0,0
2,4,1,0,0
3,1,0.875,0,0.125
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.867,0,0.133
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.097,0,0.903
5,2,0.9635,0,0.0365
5,3,1,0,0
5,4,1,0,0
6,1,0,0.014,0.986
6,2,0.0505,0.037,0.9125
6,3,0.9405,0.053,0.0065
6,4,0.947,0.053,0
7,1,0,0.5925,0.4075
7,2,0,0.995,0.005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.256,0.744
8,2,0,0.976,0.024
8,3,0,1,0
8,4,0,1,0
9,1,0,0.709,0.291
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.01,0.99
10,2,0,0.661,0.339
10,3,0,0.9885,0.0115
10,4,0,1,0
