y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0,0,1
1,3,0.013,0,0.987
1,4,0.638,0,0.362
2,1,0,0,1
2,2,0,0,1
2,3,0.1825,0,0.8175
2,4,0.9465,0,0.0535
3,1,0,0,1
3,2,0,0,1
3,3,0.2305,0,0.7695
3,4,0.9615,0,0.0385
4,1,0,0,1
4,2,0,0,1
4,3,0.0925,0,0.9075
4,4,0.863,0,0.137
5,1,0,0,1
5,2,0,0,1
5,3,0.001,0,0.999
5,4,0.121,0,0.879
6,1,0,0.002,0.998
6,2,0,0.0075,0.9925
6,3,0,0.037,0.963
6,4,0.0005,0.146,0.8535
7,1,0,0.009,0.991
7,2,0,0.6805,0.3195
7,3,0,1,0
7,4,0,1,0
8,1,0,0.028,0.972
8,2,0,0.886,0.114
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9235,0.0765
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.8725,0.1275
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
